,imgPath,angle,distance,speed,altitude,key_a,key_d,key_1,key_3,key_q,key_e,key_w,key_s
0,dataset/1/11446.jpg,-30.84,161.9,819,,0,0,1,0,0,0,0,0
0,dataset/1/11446.jpg,-16.46,137.64,819,,0,0,1,0,0,0,0,0
0,dataset/1/11446.jpg,33.9,150.6,819,,0,0,1,0,0,0,0,0
0,dataset/1/11445.jpg,-30.84,161.9,520,2575,0,0,1,0,0,0,0,0
0,dataset/1/11445.jpg,-15.95,138.32,520,2575,0,0,1,0,0,0,0,0
0,dataset/1/11445.jpg,33.9,150.6,520,2575,0,0,1,0,0,0,0,0
0,dataset/1/11444.jpg,-32.23,163.13,,,0,0,1,0,0,0,0,0
0,dataset/1/11444.jpg,-14.24,138.25,,,0,0,1,0,0,0,0,0
0,dataset/1/11444.jpg,31.56,149.04,,,0,0,1,0,0,0,0,0
0,dataset/1/11443.jpg,25.63,164.15,,,0,0,1,0,0,0,0,0
0,dataset/1/11443.jpg,26.87,165.92,,,0,0,1,0,0,0,0,0
0,dataset/1/11443.jpg,-10.42,138.28,,,0,0,1,0,0,0,0,0
0,dataset/1/11443.jpg,-33.89,161.42,,,0,0,1,0,0,0,0,0
0,dataset/1/11443.jpg,27.27,146.25,,,0,0,1,0,0,0,0,0
0,dataset/1/11443.jpg,2.05,140.09,,,0,0,1,0,0,0,0,0
0,dataset/1/11443.jpg,4.11,139.36,,,0,0,1,0,0,0,0,0
0,dataset/W/W1442.jpg,25.63,164.15,,,0,0,0,0,0,0,1,0
0,dataset/W/W1442.jpg,26.87,165.92,,,0,0,0,0,0,0,1,0
0,dataset/W/W1442.jpg,-10.42,138.28,,,0,0,0,0,0,0,1,0
0,dataset/W/W1442.jpg,-33.89,161.42,,,0,0,0,0,0,0,1,0
0,dataset/W/W1442.jpg,27.27,146.25,,,0,0,0,0,0,0,1,0
0,dataset/W/W1442.jpg,2.45,140.13,,,0,0,0,0,0,0,1,0
0,dataset/W/W1442.jpg,4.11,139.36,,,0,0,0,0,0,0,1,0
0,dataset/W/W1441.jpg,-28.27,149.88,,,0,0,0,0,0,0,1,0
0,dataset/W/W1441.jpg,0.86,133.02,,,0,0,0,0,0,0,1,0
0,dataset/W/W1441.jpg,26.57,140.87,,,0,0,0,0,0,0,1,0
0,dataset/D/D1440.jpg,24.51,137.38,,,0,1,0,0,0,0,0,0
0,dataset/D/D1440.jpg,-20.56,145.25,,,0,1,0,0,0,0,0,0
0,dataset/D/D1439.jpg,25.82,137.75,,,0,1,0,0,0,0,0,0
0,dataset/D/D1439.jpg,-18.94,144.84,,,0,1,0,0,0,0,0,0
0,dataset/D/D1438.jpg,6.56,87.57,,,0,1,0,0,0,0,0,0
0,dataset/D/D1438.jpg,48.75,86.45,,,0,1,0,0,0,0,0,0
0,dataset/D/D1437.jpg,20.16,84.15,,,0,1,0,0,0,0,0,0
0,dataset/D/D1437.jpg,62.8,80.95,,,0,1,0,0,0,0,0,0
0,dataset/D/D1437.jpg,79.7,67.08,,,0,1,0,0,0,0,0,0
0,dataset/D/D1436.jpg,68.05,72.24,,,0,1,0,0,0,0,0,0
0,dataset/D/D1436.jpg,37.87,91.21,,,0,1,0,0,0,0,0,0
0,dataset/D/D1436.jpg,-268.12,61.03,,,0,1,0,0,0,0,0,0
0,dataset/D/D1435.jpg,80.79,74.97,,,0,1,0,0,0,0,0,0
0,dataset/D/D1435.jpg,-267.09,59.08,,,0,1,0,0,0,0,0,0
0,dataset/D/D1435.jpg,-255.96,57.72,,,0,1,0,0,0,0,0,0
0,dataset/S/S1434.jpg,-266.38,79.16,,,0,1,0,0,0,0,0,1
0,dataset/S/S1434.jpg,63.79,72.45,,,0,1,0,0,0,0,0,1
0,dataset/S/S1434.jpg,-247.68,102.69,,,0,1,0,0,0,0,0,1
0,dataset/S/S1433.jpg,-249.44,51.26,,,0,1,0,0,0,0,0,1
0,dataset/S/S1433.jpg,84.47,31.14,,,0,1,0,0,0,0,0,1
0,dataset/S/S1433.jpg,-243.43,29.07,,,0,1,0,0,0,0,0,1
0,dataset/S/S1433.jpg,-234.82,74.63,,,0,1,0,0,0,0,0,1
0,dataset/S/S1432.jpg,-226.74,46.69,,,0,1,0,0,0,0,0,1
0,dataset/S/S1432.jpg,84.47,31.14,,,0,1,0,0,0,0,0,1
0,dataset/S/S1432.jpg,-214.59,70.46,,,0,1,0,0,0,0,0,1
0,dataset/S/S1431.jpg,85.82,41.11,,,0,1,0,0,0,0,0,1
0,dataset/S/S1431.jpg,-208.39,42.06,,,0,1,0,0,0,0,0,1
0,dataset/S/S1430.jpg,85.49,38.12,,,0,1,0,0,0,0,0,1
0,dataset/S/S1430.jpg,-218.88,39.82,,,0,1,0,0,0,0,0,1
0,dataset/S/S1429.jpg,9.21,149.93,,,0,1,0,0,0,0,0,1
0,dataset/S/S1429.jpg,30.72,160.52,,,0,1,0,0,0,0,0,1
0,dataset/S/S1429.jpg,-217.65,44.2,,,0,1,0,0,0,0,0,1
0,dataset/S/S1429.jpg,-148.78,38.59,,,0,1,0,0,0,0,0,1
0,dataset/S/S1428.jpg,8.83,149.78,,,0,1,0,0,0,0,0,1
0,dataset/S/S1428.jpg,31.15,162.41,,,0,1,0,0,0,0,0,1
0,dataset/S/S1428.jpg,-218.45,43.42,,,0,1,0,0,0,0,0,1
0,dataset/S/S1428.jpg,-147.99,37.74,,,0,1,0,0,0,0,0,1
0,dataset/W/W1427.jpg,-36.87,185.0,,,0,0,0,0,0,0,1,0
